company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
INSTITUT DE RECERCA BIOMÈDICA DE LLEIDA;Data Scientist;3.6;19000;21000;20000;EUR;yearly;Madrid
Gestamp;Data Scientist;3.6;1000;1000;1000;EUR;monthly;Madrid
DeJames Builders;Data Scientist;2.5;19000;21000;20000;EUR;yearly;Madrid
Kabel;Data Scientist;4.2;25000;27000;26000;EUR;yearly;Madrid
Adecco Group;Data Scientist;3.5;2000;2000;2000;EUR;monthly;Madrid
Fintonic;Data Scientist;3.5;288;309;299;EUR;monthly;Madrid
Airbus;Data Scientist;4.2;836;908;872;EUR;monthly;Madrid
QueBueno;Data Scientist;4.3;33000;37000;35000;EUR;yearly;Madrid
Zurich Insurance;Data Scientist;4.3;48000;52000;50000;EUR;yearly;Madrid
Mphasis;Data Scientist;3.4;39000;42000;40000;EUR;yearly;Madrid
AbbVie;Data Scientist;4.0;48000;52000;50000;EUR;yearly;Madrid
CSIC;Data Scientist;3.8;58000;62000;60000;EUR;yearly;Madrid
Allianz;Data Scientist;4.0;58000;62000;60000;EUR;yearly;Madrid
BASE life science;Data Scientist;3.9;40000;44000;42000;EUR;yearly;Madrid
Zimmer Biomet;Data Scientist;3.6;48000;52000;50000;EUR;yearly;Madrid
DOCOMO Digital;Data Scientist;3.8;45000;49000;47000;EUR;yearly;Madrid
En GantaBI;Data Scientist;-0.1000000014901161;45000;49000;47000;EUR;yearly;Madrid
JOT Internet Media;Data Scientist;4.0;35000;38000;36000;EUR;yearly;Madrid
Amadeus;Data Scientist;4.3;40000;44000;42000;EUR;yearly;Madrid
8Belts;Data Scientist;2.8;20000;22000;21000;EUR;yearly;Madrid
Universidad Politécnica de Madrid;Data Scientist;3.9;956;1000;1000;EUR;monthly;Madrid
ACCIONA;Data Scientist;4.1;34000;37000;36000;EUR;yearly;Madrid
Accentue;Data Scientist;4.2;618;677;648;EUR;monthly;Madrid
Savills;Data Scientist;3.9;24000;26000;25000;EUR;yearly;Madrid
Capita;Data Scientist;3.0;45000;48000;47000;EUR;yearly;Madrid
Alter;Data Scientist;3.8;46000;49000;47000;EUR;yearly;Madrid
Quibim;Data Scientist;4.9;34000;37000;35000;EUR;yearly;Madrid
Compass Group;Data Scientist;3.4;25000;27000;26000;EUR;yearly;Madrid
Saptools Consulting;Data Scientist;2.8;46000;49000;48000;EUR;yearly;Madrid
CoachHub;Data Scientist;3.8;115000;124000;119000;EUR;yearly;Madrid
The Olin Group;Data Scientist;4.2;23000;25000;24000;EUR;yearly;Madrid
Avianca;Data Scientist;4.1;96000;104000;100000;EUR;yearly;Madrid
Secuoyas;Data Scientist;3.1;26000;28000;27000;EUR;yearly;Madrid
The CT Engineering Group;Data Scientist;3.9;30000;32000;31000;EUR;yearly;Madrid
Alkemy;Data Scientist;3.6;965;1000;1000;EUR;monthly;Madrid
Irium;Data Scientist;2.4;35000;37000;36000;EUR;yearly;Madrid
Roura & Cevasa;Data Scientist;4.0;34000;37000;36000;EUR;yearly;Madrid
Centro de Cirugía de Mínima Invasión Jesús Usón;Data Scientist;1.7;14000;16000;15000;EUR;yearly;Madrid
Grupo Inmoglaciar;Data Scientist;3.4;43000;47000;45000;EUR;yearly;Madrid
Hispatec Analytics;Data Scientist;5.0;26000;28000;27000;EUR;yearly;Madrid
ASTARA;Data Scientist;3.4;40000;44000;42000;EUR;yearly;Madrid
Orange Business;Data Scientist;4.0;48000;52000;50000;EUR;yearly;Madrid
Panel Sistemas Informáticos;Data Scientist;4.0;26000;28000;27000;EUR;yearly;Madrid
May Business Consulting;Data Scientist;3.7;25000;27000;26000;EUR;yearly;Madrid
SENER;Data Scientist;4.2;38000;41000;40000;EUR;yearly;Madrid
Toptal;Data Scientist;3.5;76000;84000;80000;EUR;yearly;Madrid
Vasalto Tech & Talent;Data Scientist;3.0;29000;31000;30000;EUR;yearly;Madrid
Novabase;Data Scientist;3.6;24000;26000;25000;EUR;yearly;Madrid
NetCheck;Data Scientist;3.8;40000;44000;42000;EUR;yearly;Madrid
Universidad Autónoma de Madrid;Data Scientist;3.3;33000;36000;35000;EUR;yearly;Madrid
Arfima Trading;Data Scientist;3.3;17000;19000;18000;EUR;yearly;Madrid
Cofares;Data Scientist;3.6;27000;29000;28000;EUR;yearly;Madrid
Moody's;Data Scientist;3.9;53000;58000;56000;EUR;yearly;Madrid
Meta;Data Scientist;3.9;38000;42000;40000;EUR;yearly;Madrid
Besoftware;Data Scientist;3.4;289;315;302;EUR;monthly;Madrid
Pepe's Piri Piri;Data Scientist;3.9;10;10;10;EUR;hourly;Madrid
MACC Residencial;Data Scientist;3.8;764;827;795;EUR;monthly;Madrid
GMV;Data Scientist;4.2;24000;26000;25000;EUR;yearly;Madrid
Inetum;Data Scientist;3.2;21000;23000;22000;EUR;yearly;Madrid
Pompeii;Data Scientist;5.0;25000;27000;26000;EUR;yearly;Madrid
Innaxis;Data Scientist;5.0;32000;35000;33000;EUR;yearly;Madrid
DataJuicers;Data Scientist;5.0;38000;41000;40000;EUR;yearly;Madrid
Luca TIC;Data Scientist;3.2;20000;22000;21000;EUR;yearly;Madrid
Geoban;Data Scientist;3.2;1000;1000;1000;EUR;monthly;Madrid
Manpower;Data Scientist;4.1;23000;25000;24000;EUR;yearly;Madrid
Geotab;Data Scientist;3.8;46000;50000;48000;EUR;yearly;Madrid
Freelance;Data Scientist;4.2;4000;5000;5000;EUR;monthly;Madrid
Signify;Data Scientist;3.5;53000;57000;55000;EUR;yearly;Madrid
Smart Protection;Data Scientist;3.5;14000;16000;15000;EUR;yearly;Madrid
Walmeric Soluciones;Data Scientist;3.7;29000;31000;30000;EUR;yearly;Madrid
Capgemini;Data Scientist;3.8;484;523;504;EUR;monthly;Madrid
Santillana;Data Scientist;3.5;46000;49000;48000;EUR;yearly;Madrid
Isdefe;Data Scientist;3.6;29000;31000;30000;EUR;yearly;Madrid
Inserta Empleo;Data Scientist;3.5;32000;34000;33000;EUR;yearly;Madrid
Blueliv;Data Scientist;3.8;27000;29000;28000;EUR;yearly;Madrid
Artelnics;Data Scientist;2.2;23000;25000;24000;EUR;yearly;Madrid
Logisfashion;Data Scientist;2.9;25000;27000;26000;EUR;yearly;Madrid
NTT DATA;Data Scientist;3.8;29000;31000;30000;EUR;yearly;Madrid
Tempotel;Data Scientist;4.0;25000;27000;26000;EUR;yearly;Madrid
Autonomo;Data Scientist;4.4;2000;2000;2000;EUR;monthly;Madrid
NPR Software;Data Scientist;-0.1000000014901161;31000;33000;32000;EUR;yearly;Madrid
AXA / France;Data Scientist;4.1;34000;37000;36000;EUR;yearly;Madrid
Nielsen;Data Scientist;3.3;2000;2000;2000;EUR;monthly;Madrid
Satellogic;Data Scientist;3.8;35000;37000;36000;EUR;yearly;Madrid
FH2L Arquitectos;Data Scientist;4.0;29000;31000;30000;EUR;yearly;Madrid
Sum (Spain);Data Scientist;-0.1000000014901161;29000;31000;30000;EUR;yearly;Madrid
Universidad Internacional de La Rioja;Data Scientist;3.2;38000;41000;40000;EUR;yearly;Madrid
Centro de Astrobiología;Data Scientist;4.0;15000;17000;16000;EUR;yearly;Madrid
Electronic Arts;Data Scientist;4.1;29000;31000;30000;EUR;yearly;Madrid
Walt Disney Company;Data Scientist;3.9;62000;68000;65000;EUR;yearly;Madrid
Agence de l'eau Loire-Bretagne;Data Scientist;3.7;37000;40000;38000;EUR;yearly;Madrid
THE BRIDGE (Spain);Data Scientist;3.5;29000;31000;30000;EUR;yearly;Madrid
Seedtag;Data Scientist;3.9;4000;5000;5000;EUR;monthly;Madrid
Amadix.;Data Scientist;-0.1000000014901161;48000;52000;50000;EUR;yearly;Madrid
NBQ Systems;Data Scientist;5.0;23000;25000;24000;EUR;yearly;Madrid
CEIEC;Data Scientist;3.4;1000;1000;1000;EUR;monthly;Madrid
Unicaja;Data Scientist;2.9;43000;47000;45000;EUR;yearly;Madrid
University of Valencia;Data Scientist;4.1;1000;1000;1000;EUR;monthly;Madrid
Voodoo;Data Scientist;4.4;59000;64000;62000;EUR;yearly;Madrid
Kairós;Data Scientist;4.3;476;523;499;EUR;monthly;Madrid
Holcim;Data Scientist;3.8;43000;47000;45000;EUR;yearly;Madrid
WayOps;Data Scientist;2.5;29;31;30;EUR;hourly;Madrid
Robert Bosch;Data Scientist;4.2;773;824;799;EUR;monthly;Madrid
Verisure;Data Scientist;3.3;573;625;599;EUR;monthly;Madrid
bchange;Data Scientist;1.0;38000;41000;40000;EUR;yearly;Madrid
Tidart Digital Media & Data Agency;Data Scientist;4.2;26000;28000;27000;EUR;yearly;Madrid
Bjumper;Data Scientist;4.3;29000;31000;30000;EUR;yearly;Madrid
GFT Technologies;Data Scientist;4.3;53000;57000;55000;EUR;yearly;Madrid
Driblab;Data Scientist;5.0;24000;26000;25000;EUR;yearly;Madrid
Universidad de Navarra;Data Scientist;4.3;34000;36000;35000;EUR;yearly;Madrid
SGS;Data Scientist;3.3;29000;31000;30000;EUR;yearly;Madrid
Ypióca;Data Scientist;4.6;24000;26000;25000;EUR;yearly;Madrid
Bluetab;Data Engineer;4.1;26000;39000;34000;EUR;yearly;Madrid
Accenture;Data Engineer;3.8;30000;45000;36000;EUR;yearly;Madrid
Minsait;Data Engineer;3.8;27000;40000;32000;EUR;yearly;Madrid
BBVA Next Technologies;Data Engineer;4.0;33000;43000;41000;EUR;yearly;Madrid
Stratio;Data Engineer;3.1;31000;47000;36000;EUR;yearly;Madrid
Capgemini;Data Engineer;3.8;21000;32000;27000;EUR;yearly;Madrid
Santander;Data Engineer;3.8;32000;47000;40000;EUR;yearly;Madrid
OpenSistemas;Data Engineer;4.3;31000;45000;37000;EUR;yearly;Madrid
Telefónica;Data Engineer;4.1;32000;44000;38000;EUR;yearly;Madrid
NTT DATA;Data Engineer;3.8;23000;31000;27000;EUR;yearly;Madrid
The Cocktail;Data Engineer;3.7;22000;30000;26000;EUR;yearly;Madrid
Idealista.com;Data Engineer;3.8;32000;39000;33000;EUR;yearly;Madrid
SDG Group;Data Engineer;3.9;31000;39000;35000;EUR;yearly;Madrid
Hiberus Tecnología;Data Engineer;3.7;24000;40000;30000;EUR;yearly;Madrid
Keepler;Data Engineer;4.8;30000;36000;34000;EUR;yearly;Madrid
Next Digital Hub;Data Engineer;4.3;28000;35000;31000;EUR;yearly;Madrid
SCALIAN SPAIN;Data Engineer;3.6;34000;46000;41000;EUR;yearly;Madrid
Making Science;Data Engineer;3.7;24000;36000;32000;EUR;yearly;Madrid
VASS;Data Engineer;4.0;27000;47000;37000;EUR;yearly;Madrid
Cepsa;Data Engineer;3.7;34000;67000;49000;EUR;yearly;Madrid
Jakala Iberia;Data Engineer;3.6;22000;40000;31000;EUR;yearly;Madrid
Devoteam;Data Engineer;3.8;32000;42000;34000;EUR;yearly;Madrid
BBVA;Data Engineer;4.2;30000;43000;39000;EUR;yearly;Madrid
Altostratus Cloud Consulting;Data Engineer;3.5;24000;31000;30000;EUR;yearly;Madrid
Vodafone;Data Engineer;3.9;34000;43000;35000;EUR;yearly;Madrid
ALTEN;Data Engineer;3.2;29000;40000;31000;EUR;yearly;Madrid
Frontiers;Data Engineer;2.7;46000;55000;50000;EUR;yearly;Madrid
knowmad mood;Data Engineer;4.1;37000;45000;43000;EUR;yearly;Madrid
TrustYou;Data Engineer;3.5;40000;55000;44000;EUR;yearly;Madrid
Clarity AI;Data Engineer;4.4;33000;46000;36000;EUR;yearly;Madrid
Cognizant Technology Solutions;Data Engineer;3.7;31000;44000;32000;EUR;yearly;Madrid
Redslim;Data Engineer;4.5;35000;43000;37000;EUR;yearly;Madrid
KPMG;Data Engineer;3.7;36000;44000;40000;EUR;yearly;Madrid
sngular;Data Engineer;4.2;27000;40000;32000;EUR;yearly;Madrid
GMV;Data Engineer;4.2;24000;30000;29000;EUR;yearly;Madrid
UST;Data Engineer;3.9;31000;46000;36000;EUR;yearly;Madrid
VML;Data Engineer;3.5;30000;40000;33000;EUR;yearly;Madrid
everis;Data Engineer;3.6;19000;32000;28000;EUR;yearly;Madrid
Merkle;Data Engineer;3.6;23000;35000;30000;EUR;yearly;Madrid
Novaquality Consulting;Data Engineer;3.9;30000;35000;30000;EUR;yearly;Madrid
Indra;Data Engineer;3.7;27000;38000;30000;EUR;yearly;Madrid
Inetum;Data Engineer;3.3;24000;44000;35000;EUR;yearly;Madrid
Mercedes-Benz Group Services Madrid;Data Engineer;3.7;32000;51000;44000;EUR;yearly;Madrid
Mática;Data Engineer;3.5;24000;40000;28000;EUR;yearly;Madrid
