company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Glovo;Data Scientist;3.5;761;826;794;EUR;monthly;Barcelona
Management Solutions;Data Scientist;3.8;24000;26000;25000;EUR;yearly;Barcelona
HP Inc.;Data Scientist;4.1;38000;41000;40000;EUR;yearly;Barcelona
Burger King;Data Scientist;3.4;43000;47000;45000;EUR;yearly;Barcelona
IBM;Data Scientist;4;48000;52000;50000;EUR;yearly;Barcelona
Freelancer;Data Scientist;4.2;1000;2000;2000;EUR;monthly;Barcelona
GMV;Data Scientist;4.2;38000;42000;40000;EUR;yearly;Barcelona
DXC Technology;Data Scientist;3.5;46000;49000;47000;EUR;yearly;Barcelona
Nestlé;Data Scientist;4.1;925;991;958;EUR;monthly;Barcelona
CSIC;Data Scientist;3.8;1000;1000;1000;EUR;monthly;Barcelona
Grupo Planeta;Data Scientist;4.4;6;7;6;EUR;hourly;Barcelona
GFT Technologies;Data Scientist;4.3;23000;25000;24000;EUR;yearly;Barcelona
Lidl;Data Scientist;3.4;43000;47000;45000;EUR;yearly;Barcelona
Banco Sabadell;Data Scientist;3.8;48000;52000;50000;EUR;yearly;Barcelona
Schneider Electric;Data Scientist;4.3;34000;36000;35000;EUR;yearly;Barcelona
Roche;Data Scientist;4.2;58000;63000;61000;EUR;yearly;Barcelona
Hiberus Tecnología;Data Scientist;3.7;33000;36000;34000;EUR;yearly;Barcelona
TELUS Digital;Data Scientist;3.6;26000;29000;28000;EUR;yearly;Barcelona
TravelPerk;Data Scientist;4.1;48000;52000;50000;EUR;yearly;Barcelona
Universitat Politecnica de Catalunya;Data Scientist;4.1;18000;20000;19000;EUR;yearly;Barcelona
Criteo;Data Scientist;4.1;1000;1000;1000;EUR;monthly;Barcelona
Zurich Insurance;Data Scientist;4.3;6;6;6;EUR;hourly;Barcelona
Zurich Insurance;Data Scientist;4.3;768;840;804;EUR;monthly;Barcelona
Cognizant Technology Solutions;Data Scientist;3.7;52000;56000;54000;EUR;yearly;Barcelona
Barcelona Supercomputing Center;Data Scientist;3.9;36000;40000;38000;EUR;yearly;Barcelona
Apple;Data Scientist;4.1;52000;57000;54000;EUR;yearly;Barcelona
Siemens;Data Scientist;4.2;68000;72000;70000;EUR;yearly;Barcelona
freelance;Data Scientist;4.2;31000;33000;32000;EUR;yearly;Barcelona
BABEL;Data Scientist;3.6;16000;17000;17000;EUR;yearly;Barcelona
Hays;Data Scientist;3.5;38000;42000;40000;EUR;yearly;Barcelona
Generalitat de Catalunya;Data Scientist;4;23000;25000;24000;EUR;yearly;Barcelona
CBRE;Data Scientist;3.9;29000;31000;30000;EUR;yearly;Barcelona
Grifols;Data Scientist;3.4;29000;31000;30000;EUR;yearly;Barcelona
Applus+ IDIADA;Data Scientist;3.9;33000;36000;34000;EUR;yearly;Barcelona
PepsiCo;Data Scientist;3.9;21000;23000;22000;EUR;yearly;Barcelona
Typeform;Data Scientist;3.4;1000;1000;1000;EUR;monthly;Barcelona
Eurofirms;Data Scientist;3;24000;26000;25000;EUR;yearly;Barcelona
