company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
IntelliSense.io;Data Engineer;4.4;33000;36000;35000;EUR;yearly;Barcelona
Marcel;Data Engineer;3.4;53000;57000;55000;EUR;yearly;Barcelona
Mitiga Solutions;Data Engineer;4;39000;42000;40000;EUR;yearly;Barcelona
Satellogic;Data Engineer;3.8;27000;29000;28000;EUR;yearly;Barcelona
Onebox;Data Engineer;4.8;43000;47000;45000;EUR;yearly;Barcelona
BBVA;Data Engineer;4.2;29000;31000;30000;EUR;yearly;Barcelona
Bluecap;Data Engineer;3.6;6;6;6;EUR;hourly;Barcelona
HH Global;Data Engineer;3.2;31000;33000;32000;EUR;yearly;Barcelona
Saivo;Data Engineer;-0.10000000149011612;34000;37000;35000;EUR;yearly;Barcelona
Bertrandt;Data Engineer;3.5;35000;39000;37000;EUR;yearly;Barcelona
Spark (Ireland);Data Engineer;3.1;53000;58000;55000;EUR;yearly;Barcelona
Assist;Data Engineer;3.6;27000;29000;28000;EUR;yearly;Barcelona
Me, Myself and I;Data Engineer;4.4;29000;31000;30000;EUR;yearly;Barcelona
Hemav;Data Engineer;3.9;48000;52000;50000;EUR;yearly;Barcelona
Researcher;Data Engineer;4.3;30000;33000;32000;EUR;yearly;Barcelona
Stayforlong;Data Engineer;4.3;34000;37000;35000;EUR;yearly;Barcelona
Universitat Rovira i Virgili;Data Engineer;4.1;19000;21000;20000;EUR;yearly;Barcelona
Computer Vision Centre;Data Engineer;4.2;4;4;4;EUR;hourly;Barcelona
Hosco;Data Engineer;4.5;34000;36000;35000;EUR;yearly;Barcelona
Plain Concepts;Data Engineer;3.9;24000;26000;25000;EUR;yearly;Barcelona
Quadpack;Data Engineer;3.3;37000;39000;38000;EUR;yearly;Barcelona
Amazon;Data Engineer;3.6;49000;53000;51000;EUR;yearly;Barcelona
