company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
flaschenpost;Data Scientist;2.8;65000;67000;66000;EUR;yearly;Berlin
smava;Data Scientist;3.1;55000;80000;68000;EUR;yearly;Berlin
TomTom;Data Scientist;4;76000;78000;77000;EUR;yearly;Berlin
plista;Data Scientist;3.9;50000;55000;53000;EUR;yearly;Berlin
Springer Nature;Data Scientist;4;56000;59000;58000;EUR;yearly;Berlin
Microsoft;Data Scientist;4.2;78000;80000;79000;EUR;yearly;Berlin
Acrolinx;Data Scientist;4;68000;70000;69000;EUR;yearly;Berlin
HELLA Aglaia Mobile Vision;Data Scientist;4.5;78000;79000;79000;EUR;yearly;Berlin
Deevio;Data Scientist;3;60000;70000;65000;EUR;yearly;Berlin
wattx;Data Scientist;4.5;57000;60000;59000;EUR;yearly;Berlin
Freie Universität Berlin;Data Scientist;4.1;32000;36000;34000;EUR;yearly;Berlin
Scout24 SE;Data Scientist;3.7;72000;83000;77000;EUR;yearly;Berlin
Freelancer;Data Scientist;4.2;60000;85000;72000;EUR;yearly;Berlin
Home24;Data Scientist;3.5;62000;65000;64000;EUR;yearly;Berlin
travel audience;Data Scientist;4.2;40000;45000;43000;EUR;yearly;Berlin
Prestatech;Data Scientist;2.7;50000;50000;50000;EUR;yearly;Berlin
T-Mobile;Data Scientist;3.7;14;16;15;EUR;hourly;Berlin
Andy Frain;Data Scientist;3.5;53000;59000;56000;EUR;yearly;Berlin
Bird;Data Scientist;3.6;67000;72000;70000;EUR;yearly;Berlin
EPI-USE Labs;Data Scientist;4.6;69000;75000;72000;EUR;yearly;Berlin
EXXETA;Data Scientist;3.7;960;1000;998;EUR;monthly;Berlin
Digital Spine;Data Scientist;3.5;52000;56000;54000;EUR;yearly;Berlin
InnoSphere (Germany);Data Scientist;2;57000;62000;60000;EUR;yearly;Berlin
Max Planck Institute for Plasma Physics;Data Scientist;4.2;1000;1000;1000;EUR;monthly;Berlin
Zolo Technologies;Data Scientist;4;67000;73000;70000;EUR;yearly;Berlin
Leverton;Data Scientist;3.4;43000;47000;45000;EUR;yearly;Berlin
