company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
BBVA Next Technologies;Data Engineer;4;23000;25000;24000;EUR;yearly;Madrid
TQS Integration;Data Engineer;3.1;27000;28000;27000;EUR;yearly;Madrid
UFINET;Data Engineer;4;41000;44000;42000;EUR;yearly;Madrid
Hospital la Paz;Data Engineer;3.3;27000;29000;28000;EUR;yearly;Madrid
One Beyond;Data Engineer;3.3;48000;52000;50000;EUR;yearly;Madrid
Universidad Francisco de Vitoria;Data Engineer;3.9;48000;52000;50000;EUR;yearly;Madrid
Business Investment Services;Data Engineer;5;29;31;30;EUR;hourly;Madrid
Tecdata Engineering;Data Engineer;2.7;69000;75000;72000;EUR;yearly;Madrid
Management Solutions;Data Engineer;3.7;33000;36000;34000;EUR;yearly;Madrid
duagon;Data Engineer;3.5;31000;33000;32000;EUR;yearly;Madrid
Zelenza;Data Engineer;2.5;26000;28000;27000;EUR;yearly;Madrid
Sionic;Data Engineer;3.5;38000;41000;40000;EUR;yearly;Madrid
Spotahome;Data Engineer;4.4;52000;57000;55000;EUR;yearly;Madrid
Minsait;Data Engineer;3.8;774;833;803;EUR;monthly;Madrid
Rockwell Automation;Data Engineer;3.7;29000;31000;30000;EUR;yearly;Madrid
P3 Group;Data Engineer;3.9;34000;36000;35000;EUR;yearly;Madrid
Zemsania;Data Engineer;3.8;34000;36000;35000;EUR;yearly;Madrid
Movistar;Data Engineer;3.8;67000;73000;70000;EUR;yearly;Madrid
Plexus;Data Engineer;3.7;33000;36000;35000;EUR;yearly;Madrid
Returnly;Data Engineer;4.4;54000;59000;57000;EUR;yearly;Madrid
TUI Group;Data Engineer;3.9;45000;49000;47000;EUR;yearly;Madrid
VMLY&R;Data Engineer;3.7;41000;45000;43000;EUR;yearly;Madrid
Iveco Group;Data Engineer;3.9;52000;56000;54000;EUR;yearly;Madrid
RootstockLabs;Data Engineer;4.3;43000;47000;45000;EUR;yearly;Madrid
Devo;Data Engineer;3;48000;52000;50000;EUR;yearly;Madrid
Telefónica;Data Engineer;4.1;718;784;751;EUR;monthly;Madrid
Philips;Data Engineer;3.8;62000;66000;64000;EUR;yearly;Madrid
Infoverity;Data Engineer;3.9;26000;28000;27000;EUR;yearly;Madrid
Accenture;Data Engineer;3.8;43000;47000;45000;EUR;yearly;Madrid
Endesa X;Data Engineer;3.6;34000;37000;36000;EUR;yearly;Madrid
Chiliz;Data Engineer;3.6;44000;47000;45000;EUR;yearly;Madrid
Tuyú Technology;Data Engineer;4;25000;27000;26000;EUR;yearly;Madrid
Havas Group;Data Engineer;3.6;383;418;401;EUR;monthly;Madrid
Innova-Tsn;Data Engineer;3.8;27000;29000;28000;EUR;yearly;Madrid
Grupo Codere;Data Engineer;3.4;42000;46000;44000;EUR;yearly;Madrid
Bring Global;Data Engineer;3.4;30000;32000;31000;EUR;yearly;Madrid
Renfe;Data Engineer;4.3;24000;26000;25000;EUR;yearly;Madrid
WPP;Data Engineer;3.4;34000;36000;35000;EUR;yearly;Madrid
SICE;Data Engineer;3.8;33000;36000;35000;EUR;yearly;Madrid
Audatacy;Data Engineer;-0.10000000149011612;46000;50000;48000;EUR;yearly;Madrid
Ministerio de Educación;Data Engineer;3.8;40000;44000;42000;EUR;yearly;Madrid
Google;Data Engineer;4.3;23000;25000;24000;EUR;yearly;Madrid
Devoteam Drago;Data Engineer;4;25000;26000;25000;EUR;yearly;Madrid
Elastacloud;Data Engineer;3.8;34000;36000;35000;EUR;yearly;Madrid
VISEO;Data Engineer;3.6;39000;42000;41000;EUR;yearly;Madrid
Ingka Group;Data Engineer;3.9;43000;47000;45000;EUR;yearly;Madrid
Vipera;Data Engineer;3.8;33000;37000;35000;EUR;yearly;Madrid
Accenture;Data Engineer;3.8;678;726;702;EUR;monthly;Madrid
Jones Lang LaSalle;Data Engineer;3.8;53000;57000;55000;EUR;yearly;Madrid
Entelgy;Data Engineer;4;43000;47000;45000;EUR;yearly;Madrid
KPMG;Data Engineer;3.7;52000;57000;55000;EUR;yearly;Madrid
AXPE Consulting;Data Engineer;3.6;48000;52000;50000;EUR;yearly;Madrid
Tragsa;Data Engineer;4;26000;28000;27000;EUR;yearly;Madrid
WHITEBOX;Data Engineer;3.6;34000;36000;35000;EUR;yearly;Madrid
GRUPO PROEDUCA GLOBAL;Data Engineer;3;43000;47000;45000;EUR;yearly;Madrid
Ferrovial;Data Engineer;3.8;33000;36000;35000;EUR;yearly;Madrid
OrbitalAds;Data Engineer;3.6;32000;36000;34000;EUR;yearly;Madrid
Finwave;Data Engineer;3.7;34000;36000;35000;EUR;yearly;Madrid
Kyra Media;Data Engineer;2.9;19000;21000;20000;EUR;yearly;Madrid
Santander Digital Services;Data Engineer;3.5;34000;37000;35000;EUR;yearly;Madrid
Sanofi;Data Engineer;4.2;45;49;47;EUR;hourly;Madrid
Tata Consultancy Services;Data Engineer;3.7;48000;52000;50000;EUR;yearly;Madrid
Evolutio;Data Engineer;3.6;43000;47000;45000;EUR;yearly;Madrid
Veta+;Data Engineer;-0.10000000149011612;23000;25000;24000;EUR;yearly;Madrid
Altoro Analytics;Data Engineer;-0.10000000149011612;674;726;700;EUR;monthly;Madrid
Coinscrap Finance;Data Engineer;4.3;31000;33000;32000;EUR;yearly;Madrid
FREENOW;Data Engineer;3.7;50000;55000;52000;EUR;yearly;Madrid
DXC Technology;Data Engineer;3.4;26000;28000;27000;EUR;yearly;Madrid
Aptitude Global;Data Engineer;4.2;44000;47000;45000;EUR;yearly;Madrid
Santander;Data Engineer;3.8;34000;37000;35000;EUR;yearly;Madrid
Randstad Digital;Data Engineer;3.3;37000;40000;38000;EUR;yearly;Madrid
Atmira;Data Engineer;3.5;22000;24000;23000;EUR;yearly;Madrid
Aegon;Data Engineer;3.9;36;40;38;EUR;hourly;Madrid
Astrafy;Data Engineer;3.4;3000;3000;3000;EUR;monthly;Madrid
Innocv Solutions;Data Engineer;3.4;759;833;796;EUR;monthly;Madrid
DEIMOS Engenharia;Data Engineer;3.5;29000;31000;30000;EUR;yearly;Madrid
Anonymous Content;Data Engineer;3.6;43000;46000;44000;EUR;yearly;Madrid
Banco Comafi;Data Engineer;3.5;864;928;896;EUR;monthly;Madrid
Inditex;Data Engineer;3.8;44000;48000;46000;EUR;yearly;Madrid
Garaje de Ideas;Data Engineer;3.9;34000;36000;35000;EUR;yearly;Madrid
Zara;Data Engineer;3.4;38000;42000;40000;EUR;yearly;Madrid
EDP Renewables;Data Engineer;3.9;41000;45000;43000;EUR;yearly;Madrid
TourRadar;Data Engineer;4.1;54000;59000;57000;EUR;yearly;Madrid
International Airlines Group;Data Engineer;3.4;34000;37000;35000;EUR;yearly;Madrid
Certinia;Data Engineer;3.7;33000;35000;34000;EUR;yearly;Madrid
Indra;Data Engineer;3.7;33000;36000;35000;EUR;yearly;Madrid
Goiko Gourmet;Data Engineer;3.8;38000;41000;40000;EUR;yearly;Madrid
Protocol Labs;Data Engineer;3;164000;175000;169000;EUR;yearly;Madrid
Petroprix;Data Engineer;3.6;24000;26000;25000;EUR;yearly;Madrid
BigDecisions;Data Engineer;-0.10000000149011612;1000;2000;2000;EUR;monthly;Madrid
Kynetec;Data Engineer;3.9;29000;31000;30000;EUR;yearly;Madrid
urbanData Analytics;Data Engineer;2.4;34000;36000;35000;EUR;yearly;Madrid
MasOrange;Data Engineer;3;58000;62000;60000;EUR;yearly;Madrid
adidas;Data Engineer;3.9;34000;37000;36000;EUR;yearly;Madrid
Universidad Politécnica de Madrid;Data Engineer;3.9;15;17;16;EUR;hourly;Madrid
US Navy;Data Engineer;3.7;71000;78000;74000;EUR;yearly;Madrid
TSD;Data Engineer;3.7;33000;35000;34000;EUR;yearly;Madrid
Iskaypet;Data Engineer;3.4;38000;41000;40000;EUR;yearly;Madrid
Welocalize;Data Engineer;3.3;31000;34000;33000;EUR;yearly;Madrid
