company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Recipharm;Data Analyst;3.4;43000;45000;44000;EUR;yearly;Madrid
Decathlon;Data Analyst;4;36000;63000;50000;EUR;yearly;Madrid
Santander Corporate & Investing Banking;Data Analyst;3.5;40000;44000;42000;EUR;yearly;Madrid
Havas Media;Data Analyst;3.6;35000;40000;38000;EUR;yearly;Madrid
Sygris;Data Analyst;3.6;25000;28000;27000;EUR;yearly;Madrid
EY;Data Analyst;3.7;28000;33000;31000;EUR;yearly;Madrid
Airbus;Data Analyst;4.2;47000;51000;49000;EUR;yearly;Madrid
Fintonic;Data Analyst;3.5;25000;25000;25000;EUR;yearly;Madrid
ODILO;Data Analyst;3.4;30000;39000;35000;EUR;yearly;Madrid
The Information Lab;Data Analyst;4.6;2000;2000;2000;EUR;monthly;Madrid
NEORIS;Data Analyst;4;24000;27000;26000;EUR;yearly;Madrid
CHEP;Data Analyst;4;26000;53000;40000;EUR;yearly;Madrid
PagoNxt;Data Analyst;3.4;32000;35000;34000;EUR;yearly;Madrid
Expedia Group;Data Analyst;3.8;29000;44000;37000;EUR;yearly;Madrid
Bertrandt;Data Analyst;3.5;32000;34000;33000;EUR;yearly;Madrid
Nextail;Data Analyst;3.9;20000;22000;21000;EUR;yearly;Madrid
Solvia;Data Analyst;2.5;47000;51000;49000;EUR;yearly;Madrid
Lookiero;Data Analyst;3.5;43000;47000;45000;EUR;yearly;Madrid
PayLead;Data Analyst;3.9;37000;39000;38000;EUR;yearly;Madrid
adidas;Data Analyst;3.9;41000;44000;42000;EUR;yearly;Madrid
_VOIS;Data Analyst;4.1;37000;40000;39000;EUR;yearly;Madrid
SAVIA Asset Management;Data Analyst;2.9;28000;30000;29000;EUR;yearly;Madrid
The Wise Seeker;Data Analyst;2.7;21000;22000;21000;EUR;yearly;Madrid
Experis;Data Analyst;3.8;26000;28000;27000;EUR;yearly;Madrid
Randstad Digital;Data Analyst;3.3;31000;33000;32000;EUR;yearly;Madrid
CRISTINA;Data Analyst;3.8;34000;37000;36000;EUR;yearly;Madrid
Consultora;Data Analyst;3.7;29000;31000;30000;EUR;yearly;Madrid
CBRE;Data Analyst;3.9;35000;37000;36000;EUR;yearly;Madrid
Yara;Data Analyst;4;576;621;599;EUR;monthly;Madrid
Naturgy;Data Analyst;3.8;38000;41000;40000;EUR;yearly;Madrid
Uber;Data Analyst;3.8;48000;52000;50000;EUR;yearly;Madrid
Nationale-Nederlanden;Data Analyst;3.9;37000;40000;39000;EUR;yearly;Madrid
Kantar;Data Analyst;3.6;2000;2000;2000;EUR;monthly;Madrid
DKV SEGUROS;Data Analyst;3.7;38000;42000;40000;EUR;yearly;Madrid
Rebold;Data Analyst;3.3;19000;21000;20000;EUR;yearly;Madrid
AXA;Data Analyst;3.9;43000;47000;45000;EUR;yearly;Madrid
LLYC;Data Analyst;3.1;29000;31000;30000;EUR;yearly;Madrid
Constellation Consulting Iberica;Data Analyst;-0.10000000149011612;34000;37000;35000;EUR;yearly;Madrid
Ricoh;Data Analyst;3.5;29000;31000;30000;EUR;yearly;Madrid
Annalect;Data Analyst;3.7;31000;33000;32000;EUR;yearly;Madrid
PetOxy;Data Analyst;-0.10000000149011612;48000;52000;50000;EUR;yearly;Madrid
Playtika;Data Analyst;3.9;5000;6000;6000;EUR;monthly;Madrid
Brambles;Data Analyst;4.3;62000;67000;65000;EUR;yearly;Madrid
University of Derby UK;Data Analyst;3.9;38000;41000;40000;EUR;yearly;Madrid
RV ALFA;Data Analyst;3;23000;25000;24000;EUR;yearly;Madrid
NEDGIA;Data Analyst;4.1;38000;41000;39000;EUR;yearly;Madrid
StudentFinance;Data Analyst;3.5;34000;37000;35000;EUR;yearly;Madrid
BBVA Next Technologies;Data Analyst;4;37000;41000;39000;EUR;yearly;Madrid
Vrbo;Data Analyst;3.6;46000;50000;48000;EUR;yearly;Madrid
Alten (Spain);Data Analyst;2.8;2000;2000;2000;EUR;monthly;Madrid
Dékuple;Data Analyst;3.9;19000;20000;20000;EUR;yearly;Madrid
Allianz;Data Analyst;4;766;838;802;EUR;monthly;Madrid
Brainy Commerce;Data Analyst;3.5;24000;26000;25000;EUR;yearly;Madrid
VASS;Data Analyst;4;573;625;599;EUR;monthly;Madrid
Sermes CRO;Data Analyst;2.2;39000;42000;40000;EUR;yearly;Madrid
Jones Lang LaSalle;Data Analyst;3.8;29000;31000;30000;EUR;yearly;Madrid
Iberia;Data Analyst;3.6;46000;50000;48000;EUR;yearly;Madrid
TELUS Digital;Data Analyst;3.6;7;7;7;EUR;hourly;Madrid
Telefonica Tech Cyber Security & Cloud;Data Analyst;3.9;31000;33000;32000;EUR;yearly;Madrid
Treatwell;Data Analyst;3.4;30000;32000;31000;EUR;yearly;Madrid
Kabel;Data Analyst;4.2;29000;31000;30000;EUR;yearly;Madrid
UST;Data Analyst;3.9;34000;37000;35000;EUR;yearly;Madrid
Seedtag;Data Analyst;3.9;22000;24000;23000;EUR;yearly;Madrid
Alibaba Group;Data Analyst;3.8;57000;63000;60000;EUR;yearly;Madrid
TechEdge;Data Analyst;4.2;24000;26000;25000;EUR;yearly;Madrid
